province,year,wheat_yield_bu_ac,mean_temp_c,total_precip_mm,frost_days,heat_days,growing_degree_days,gs_max_temp,gs_min_temp,gs_total_rain,gs_total_snow,gs_heat_deg_days,gs_cool_deg_days,gs_days,prior_year_yield,yield_3yr_avg,year_trend,precip_anomaly,temp_anomaly,province_AB,province_MB,province_ON,province_QC,province_SK
AB,1998,37.1,15.288888888888888,280.4,12,23,1582.5,35.4,-4.6,274.4,6.0,573.0,158.2,153,37.9,39.333333333333336,3,109.50333333333333,0.9979266048922426,1,0,0,0,0
AB,1999,42.4,13.145098039215686,191.2,25,15,1292.1,34.9,-11.2,187.2,4.0,837.1,94.3,153,37.1,38.266666666666666,4,20.30333333333334,-1.1458642447809595,1,0,0,0,0
AB,2000,37.7,14.524836601307191,81.6,15,18,1505.7,36.2,-11.5,81.6,0.0,673.6,141.9,153,42.4,39.13333333333333,5,-89.29666666666665,0.23387431731054598,1,0,0,0,0
AB,2001,33.3,15.14248366013072,56.2,20,33,1600.4,38.1,-6.7,56.2,0.0,617.9,180.7,153,37.7,39.06666666666666,6,-114.69666666666664,0.851521376134075,1,0,0,0,0
AB,2002,28.2,12.613071895424836,430.2,33,11,1299.6,35.0,-17.0,380.1,61.6,943.7,119.5,153,33.3,37.800000000000004,7,259.30333333333334,-1.677890388571809,1,0,0,0,0
AB,2003,38.6,14.68888888888889,156.1,16,27,1553.4,36.9,-9.8,120.1,36.0,697.9,191.3,153,28.2,33.06666666666666,8,-14.796666666666653,0.39792660489224474,1,0,0,0,0
AB,2004,45.6,14.997540983606555,202.5,14,13,1231.5,36.9,-7.7,171.7,20.0,485.2,118.9,153,38.6,33.36666666666667,9,31.603333333333353,0.7065786996099099,1,0,0,0,0
AB,2005,47.7,13.65751633986928,379.4,14,9,1356.6,34.3,-7.8,379.4,0.0,738.6,74.2,153,45.6,37.46666666666667,10,208.50333333333333,-0.6334459441273648,1,0,0,0,0
AB,2006,43.3,17.40650406504065,142.2,3,24,1526.4,35.4,-3.7,142.2,0.0,247.8,174.8,153,47.7,43.96666666666667,11,-28.69666666666666,3.115541781044005,1,0,0,0,0
AB,2007,39.3,15.068627450980392,112.8,13,31,1609.8,36.6,-7.8,108.2,4.6,659.2,210.7,153,43.3,45.53333333333334,12,-58.09666666666665,0.7776651669837467,1,0,0,0,0
