province,year,mean_temp_c,total_precip_mm,frost_days,heat_days,growing_degree_days,gs_max_temp,gs_min_temp,gs_total_rain,gs_total_snow,gs_heat_deg_days,gs_cool_deg_days,gs_days
AB,1995,12.302702702702703,319.8,26,1,1132.4,30.2,-7.7,0.0,0.0,869.9,26.7,153
AB,1996,14.004575163398691,49.8,18,21,1421.6000000000001,34.6,-6.2,74.0,21.8,730.4,119.1,153
AB,1997,13.522875816993464,262.8,23,9,1399.4,35.6,-12.1,237.8,25.0,792.2,107.2,153
AB,1998,15.288888888888888,280.4,12,23,1582.5,35.4,-4.6,274.4,6.0,573.0,158.2,153
AB,1999,13.145098039215686,191.2,25,15,1292.1,34.9,-11.2,187.2,4.0,837.1,94.3,153
AB,2000,14.524836601307191,81.6,15,18,1505.7,36.2,-11.5,81.6,0.0,673.6,141.9,153
AB,2001,15.14248366013072,56.2,20,33,1600.4,38.1,-6.7,56.2,0.0,617.9,180.7,153
AB,2002,12.613071895424836,430.2,33,11,1299.6,35.0,-17.0,380.1,61.6,943.7,119.5,153
AB,2003,14.68888888888889,156.1,16,27,1553.4,36.9,-9.8,120.10000000000001,36.0,697.9,191.3,153
AB,2004,14.997540983606557,202.5,14,13,1231.5,36.9,-7.7,171.7,20.0,485.2,118.9,153
AB,2005,13.65751633986928,379.4,14,9,1356.6,34.3,-7.8,379.4,0.0,738.6,74.2,153
AB,2006,17.40650406504065,142.2,3,24,1526.4,35.4,-3.7,142.2,0.0,247.8,174.8,153
AB,2007,15.068627450980392,112.8,13,31,1609.8,36.6,-7.8,108.2,4.6,659.2,210.7,153
AB,2008,13.41764705882353,295.2,23,12,1373.6,36.6,-12.5,0.0,0.0,796.8,95.7,153
AB,2009,13.13921568627451,191.0,26,8,1302.5,33.3,-8.8,0.0,0.0,805.8,62.1,153
AB,2010,12.984210526315788,290.6,23,7,1263.6,33.4,-8.5,0.0,0.0,833.6,71.2,153
AB,2011,13.241830065359476,285.8,21,10,1313.3,32.9,-9.0,0.0,0.0,813.5,85.5,153
AB,2012,14.616447368421051,210.8,16,24,1481.8,34.4,-6.7,0.0,0.0,653.9,139.6,153
AB,2013,14.022666666666668,281.4,25,10,1441.6,35.3,-11.8,0.0,0.0,714.3,117.7,153
AB,2014,13.698540145985401,0.0,22,9,1232.2,33.7,-8.4,0.0,0.0,698.9,109.6,153
AB,2015,14.890196078431371,119.89999999999999,20,26,1531.3,37.0,-5.0,0.0,0.0,652.6,176.8,153
AB,2016,,191.2,0,0,0.0,,,191.2,0.0,0.0,0.0,153
AB,2017,,91.8,0,0,0.0,,,88.6,3.2,0.0,0.0,153
AB,2018,16.027272727272727,157.20000000000002,0,2,121.3,32.6,2.1,111.4,28.8,29.0,7.300000000000001,153
AB,2019,14.206164383561644,127.2,17,12,1367.8,34.9,-6.9,0.0,0.0,661.1,107.2,153
AB,2020,13.883333333333333,219.79999999999998,18,18,1432.5,35.8,-14.4,0.0,0.0,726.4,108.9,153
AB,2021,15.089932885906041,0.0,24,36,1550.7,37.9,-8.2,0.0,0.0,685.7,252.1,153
AB,2022,14.380536912751676,0.0,23,28,1478.1,35.8,-11.5,0.0,0.0,726.4,187.1,153
AB,2023,15.858389261744968,0.0,17,25,1674.7,36.9,-10.2,0.0,0.0,517.7,198.6,153
AB,2024,14.326950354609929,0.0,12,15,1349.6,36.7,-9.4,0.0,0.0,653.4,135.5,153
MB,1995,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,1996,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,1997,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,1998,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,1999,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2000,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2001,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2002,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2003,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2004,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2005,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2006,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2007,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2008,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2009,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2010,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2011,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2012,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2013,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2014,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2015,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2016,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2017,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2018,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2019,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2020,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2021,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2022,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
MB,2023,17.35952380952381,0.0,5,14,1560.8,35.6,-5.7,0.0,0.0,268.0,187.3,153
MB,2024,14.814,0.0,19,8,1505.8,32.9,-8.3,0.0,0.0,639.1,161.2,153
ON,1995,16.12156862745098,455.3,16,19,1771.2,34.7,-13.9,452.9,2.9000000000000004,592.8,305.4,153
ON,1996,15.308496732026143,476.9,16,5,1627.1,31.4,-8.5,457.9,14.2,617.2,205.4,153
ON,1997,15.247712418300654,281.5,14,14,1620.2,32.5,-10.5,273.5,6.4,641.0,219.9,153
ON,1998,17.4718954248366,333.8,3,12,1910.9,31.8,-2.0,333.8,0.0,367.7,286.9,153
ON,1999,17.381045751633987,267.3,8,25,1910.7,34.7,-7.7,267.3,0.0,440.7,346.0,153
ON,2000,15.220261437908496,556.8,12,1,1609.6,30.0,-6.1,532.8,22.8,592.2,166.9,153
ON,2001,16.959477124183007,264.8,12,25,1852.5,37.3,-5.3,263.7,1.1,479.6,320.4,153
ON,2002,15.933986928104575,470.5,14,18,1721.7,34.8,-7.3,449.8,19.5,617.6,301.5,153
ON,2003,15.891503267973857,461.9,19,13,1759.6,32.9,-10.0,452.1,13.399999999999999,595.2,272.6,153
ON,2004,15.484967320261436,399.7,14,2,1640.6,30.5,-11.2,390.7,9.0,570.6,185.8,153
ON,2005,16.994771241830065,454.6,10,27,1840.5,33.8,-2.2,450.6,4.0,536.9,383.1,153
ON,2006,16.808496732026143,489.5,12,12,1824.2,36.3,-6.9,487.7,1.8,469.4,287.1,153
ON,2007,15.964705882352941,456.09999999999997,11,13,1730.1,34.4,-7.4,436.8,19.7,559.3,247.9,153
ON,2008,15.858823529411765,429.2,10,5,1690.7,32.7,-7.8,424.0,5.2,513.1,185.5,153
ON,2009,15.558169934640523,516.3,8,8,1641.8,33.3,-4.7,514.9,1.4,568.2,194.6,153
ON,2010,17.498692810457516,445.2,3,20,1915.6,35.2,-1.3,439.8,5.4,403.6,326.9,153
ON,2011,16.895424836601308,458.8,11,19,1844.0,36.3,-5.3,455.7,3.1,486.2,317.2,153
ON,2012,17.566013071895423,318.5,12,31,1938.0,35.6,-2.5,314.3,4.2,452.6,386.2,153
ON,2013,16.186274509803923,436.5,12,12,1761.1,34.0,-7.5,430.0,6.5,533.1,255.6,153
ON,2014,15.77124183006536,519.5,12,3,1690.0,31.0,-8.8,519.5,0.0,537.9,196.9,153
ON,2015,16.558823529411764,374.1,10,10,1808.7,33.9,-7.3,370.5,4.0,476.3,255.8,153
ON,2016,16.350980392156863,348.6,17,23,1821.7,34.0,-10.5,327.0,25.2,593.2,340.9,153
ON,2017,15.85032679738562,740.2,6,6,1678.8,32.5,-4.5,740.2,0.0,535.5,206.6,153
ON,2018,16.68562091503268,389.8,19,23,1876.2,35.5,-11.0,389.8,0.0,556.1,355.0,153
ON,2019,15.292617449664428,503.8,13,14,1586.1000000000001,33.5,-8.5,493.8,10.0,640.6999999999999,237.29999999999998,153
ON,2020,21.202941176470585,323.1,0,32,1652.7,37.0,3.0,323.1,0.0,66.7,393.4,153
ON,2021,17.331372549019605,295.6,9,23,1909.2,33.5,-7.0,295.0,1.0,462.9,360.6,153
ON,2022,16.764705882352942,567.6,8,21,1815.7,33.0,-3.0,567.6,0.0,467.8,278.8,153
ON,2023,16.719607843137254,584.1,10,11,1826.0,34.5,-9.5,584.1,0.0,472.9,277.0,153
ON,2024,17.284827586206898,543.0,7,17,1789.7,32.5,-3.0,518.6,20.0,413.2,309.5,153
QC,1995,,0.0,0,0,0.0,,,0.0,0.0,0.0,0.0,153
QC,1996,14.092465753424657,681.1,14,5,1381.4,30.6,-8.0,0.0,0.0,688.9,118.39999999999999,153
QC,1997,12.776470588235293,442.1,24,5,1303.8,31.6,-11.0,0.0,0.0,902.3,103.10000000000001,153
QC,1998,14.839869281045752,437.09999999999997,13,4,1535.9,31.3,-4.7,0.0,0.0,601.0,117.5,153
QC,1999,15.036601307189542,459.6,15,5,1581.4,30.9,-5.9,0.0,0.0,615.1,161.7,153
QC,2000,13.601307189542483,499.1,17,0,1366.5,29.1,-5.3,0.0,0.0,782.8,109.8,153
QC,2001,14.322875816993465,379.2,23,5,1491.0,33.0,-5.6,0.0,0.0,687.4,124.8,153
QC,2002,13.46797385620915,375.9,21,8,1373.5,33.3,-10.0,0.0,0.0,850.1,156.7,153
QC,2003,13.15751633986928,506.9,20,5,1381.8,34.2,-13.6,0.0,0.0,868.7,127.8,153
QC,2004,13.281045751633988,544.0,21,1,1342.9,31.2,-7.0,0.0,0.0,808.6,86.6,153
QC,2005,14.584313725490198,578.4,18,9,1500.9,32.4,-3.9,0.0,0.0,720.0,197.4,153
QC,2006,14.853594771241829,431.2,14,4,1539.0,32.4,-5.5,0.0,0.0,641.2,159.8,153
QC,2007,13.706535947712418,606.1,19,6,1418.6,31.8,-6.5,0.0,0.0,766.9,110.0,153
QC,2008,13.994117647058824,662.3,16,1,1423.0,30.3,-8.0,0.0,0.0,702.8,89.9,153
QC,2009,13.957516339869281,550.2,15,3,1403.1,30.5,-3.5,0.0,5.0,733.1,114.6,153
QC,2010,15.710457516339869,341.4,8,11,1649.0,33.4,-3.5,0.0,0.0,566.9,216.6,153
QC,2011,14.126143790849675,630.0,18,1,1467.9,31.2,-7.6,0.0,0.0,735.7,143.0,153
QC,2012,15.050980392156864,529.6,18,13,1576.8,32.8,-5.1,0.0,0.0,631.1,179.9,153
QC,2013,13.753594771241831,662.9,19,4,1420.3,33.0,-8.5,0.0,0.0,763.0,113.3,153
QC,2014,13.915686274509802,617.0,20,2,1457.7,31.4,-13.2,0.0,0.0,740.2,115.3,153
QC,2015,13.860784313725489,640.8,19,1,1452.5,31.0,-19.3,0.0,0.0,727.9,94.6,153
QC,2016,13.446666666666667,453.2,28,5,1408.9,30.8,-17.5,0.0,0.0,809.1999999999999,126.2,153
QC,2017,13.396026490066225,474.8,14,3,1319.6,32.8,-7.7,0.0,0.0,779.6,84.4,153
QC,2018,13.648,536.8,24,11,1445.5,32.8,-19.2,0.0,0.0,837.1,184.3,153
QC,2019,12.912582781456953,569.4,24,5,1289.9,31.6,-10.3,0.0,0.0,877.9,109.7,153
QC,2020,13.723333333333333,462.8,32,11,1408.6,33.6,-7.5,0.0,0.0,820.7,179.2,153
QC,2021,15.420143884892086,359.7,14,9,1461.8,32.5,-3.3,0.0,0.0,551.6,193.0,153
QC,2022,14.146405228758171,662.3,20,4,1450.1,31.6,-7.5,0.0,0.0,722.6,133.0,153
QC,2023,13.903289473684211,667.3000000000001,22,4,1421.8,33.9,-13.2,0.0,0.0,750.6,127.89999999999999,153
QC,2024,15.119205298013245,530.1,14,6,1564.8,33.4,-7.1,0.0,0.0,609.1,174.1,153
SK,1995,13.37124183006536,323.5,26,14,1383.5,36.5,-17.0,312.7,11.0,850.4,142.2,153
SK,1996,12.959477124183007,254.5,30,15,1363.8,35.0,-19.2,223.5,31.2,900.6,129.4,153
SK,1997,13.581045751633987,179.2,27,19,1456.3,36.8,-16.0,169.0,15.6,835.9,159.8,153
SK,1998,14.733333333333333,272.5,24,13,1515.1000000000001,34.7,-9.6,270.9,2.2,650.4,150.6,153
SK,1999,13.355555555555556,245.8,19,5,1327.5,33.1,-7.0,232.9,17.6,774.9,64.3,153
SK,2000,13.077777777777778,340.4,31,6,1329.3,34.5,-11.0,304.2,36.6,854.9,101.8,153
SK,2001,14.258169934640524,252.70000000000002,31,16,1499.8,35.8,-12.9,246.70000000000002,8.8,720.1,147.6,153
SK,2002,11.940522875816994,304.4,49,16,1301.3,34.8,-27.6,286.4,25.0,1070.0,142.9,153
SK,2003,14.787581699346406,163.8,24,26,1582.7,37.5,-11.8,137.8,26.0,700.6,209.1,153
SK,2004,11.554248366013072,290.1,41,5,1065.8,33.6,-10.7,278.1,13.8,1035.3,49.1,153
SK,2005,13.490849673202614,220.4,27,11,1349.3,35.4,-11.5,219.4,1.0,791.4,101.5,153
SK,2006,14.944444444444445,246.5,16,21,1537.8,34.6,-6.9,246.5,0.0,613.9,146.4,153
SK,2007,14.11578947368421,218.4,24,21,1484.6,37.2,-14.6,216.4,2.0,765.9,175.5,153
SK,2008,12.920915032679739,303.5,39,7,1300.5,33.8,-13.9,0.0,0.0,864.5,87.4,153
SK,2009,11.7640522875817,0.0,39,7,1137.3,33.2,-11.4,0.0,0.0,992.7,38.6,153
