province,year,wheat_yield_bu_ac
AB,1995,40.3
AB,1996,39.8
AB,1997,37.9
AB,1998,37.1
AB,1999,42.4
AB,2000,37.7
AB,2001,33.3
AB,2002,28.2
AB,2003,38.6
AB,2004,45.6
AB,2005,47.7
AB,2006,43.3
AB,2007,39.3
AB,2008,46.9
AB,2009,40.9
AB,2010,46.9
AB,2011,49.1
AB,2012,47.4
AB,2013,58.1
AB,2014,51.1
AB,2015,45.4
AB,2016,58.1
AB,2017,52.6
AB,2018,49.7
AB,2019,52.3
AB,2020,55.8
AB,2021,34.9
AB,2022,55.6
AB,2023,44.9
AB,2024,48.0
MB,1995,31.4
MB,1996,38.3
MB,1997,31.7
MB,1998,36.6
MB,1999,36.9
MB,2000,40.3
MB,2001,32.2
MB,2002,36.3
MB,2003,43.8
MB,2004,45.2
MB,2005,32.2
MB,2006,42.6
MB,2007,40.7
MB,2008,49.4
MB,2009,49.4
MB,2010,41.1
MB,2011,38.5
MB,2012,48.4
MB,2013,56.9
MB,2014,48.4
MB,2015,50.1
MB,2016,52.6
MB,2017,61.3
MB,2018,60.9
MB,2019,60.8
MB,2020,61.3
MB,2021,47.9
MB,2022,61.7
MB,2023,62.5
MB,2024,65.4
ON,1995,68.4
ON,1996,40.6
ON,1997,59.1
ON,1998,60.3
ON,1999,70.1
ON,2000,70.8
ON,2001,68.3
ON,2002,67.2
ON,2003,73.8
ON,2004,69.2
ON,2005,65.8
ON,2006,78.3
ON,2007,68.4
ON,2008,76.1
ON,2009,70.6
ON,2010,75.9
ON,2011,72.8
ON,2012,76.1
ON,2013,77.4
ON,2014,75.2
ON,2015,76.2
ON,2016,84.1
ON,2017,83.7
ON,2018,81.2
ON,2019,74.4
ON,2020,79.5
ON,2021,87.6
ON,2022,96.4
ON,2023,95.7
ON,2024,92.9
QC,1995,41.1
QC,1996,41.0
QC,1997,46.5
QC,1998,42.6
QC,1999,44.6
QC,2000,48.7
QC,2001,47.1
QC,2002,48.6
QC,2003,46.2
QC,2004,48.8
QC,2005,43.7
QC,2006,43.8
QC,2007,46.0
QC,2008,41.9
QC,2009,40.4
QC,2010,44.9
QC,2011,41.6
QC,2012,48.0
QC,2013,46.5
QC,2014,46.4
QC,2015,51.7
QC,2016,52.5
QC,2017,47.9
QC,2018,46.8
QC,2019,50.7
QC,2020,34.6
QC,2021,54.1
QC,2022,58.3
QC,2023,41.3
QC,2024,50.8
SK,1995,29.3
SK,1996,33.9
SK,1997,28.2
SK,1998,29.9
SK,1999,35.4
SK,2000,32.8
SK,2001,24.2
SK,2002,21.8
SK,2003,25.8
SK,2004,32.8
SK,2005,37.0
SK,2006,31.8
SK,2007,28.5
SK,2008,34.8
SK,2009,37.4
SK,2010,35.3
SK,2011,38.6
SK,2012,36.5
SK,2013,48.4
SK,2014,40.5
SK,2015,37.8
SK,2016,47.3
SK,2017,43.2
SK,2018,42.7
SK,2019,45.1
SK,2020,46.7
SK,2021,28.1
SK,2022,42.9
SK,2023,39.5
SK,2024,44.8
