name,province,latitude,longitude,population
Toronto,ON,43.70643,-79.39864,2794356
Montréal,QC,45.50884,-73.58781,1762949
Calgary,AB,51.05011,-114.08529,1306784
Ottawa,ON,45.41117,-75.69812,1017449
Edmonton,AB,53.55014,-113.46871,1010899
Winnipeg,MB,49.8844,-97.14704,749607
Mississauga,ON,43.5789,-79.6583,717961
Vancouver,BC,49.24966,-123.11934,662248
Brampton,ON,43.68341,-79.76633,656480
Hamilton,ON,43.25011,-79.84963,569353
Surrey,BC,49.10635,-122.82509,568322
Québec,QC,46.81228,-71.21454,531902
Halifax,NS,44.64269,-63.57688,471559
Laval,QC,45.56995,-73.692,438366
London,ON,42.98339,-81.23304,422324
Etobicoke,ON,43.64415,-79.56985,365000
Markham,ON,43.86682,-79.2663,338503
Vaughan,ON,43.8361,-79.49827,323103
Gatineau,QC,45.47723,-75.70164,300045
Victoria,BC,48.4359,-123.35155,289625
Saskatoon,SK,52.13238,-106.66892,266141
Kitchener,ON,43.42537,-80.5112,256885
Burnaby,BC,49.26636,-122.95263,249125
Windsor,ON,42.30008,-83.01654,229660
Longueuil,QC,45.5152,-73.46818,229330
Regina,SK,50.45008,-104.6178,226404
Oakville,ON,43.45011,-79.68292,213759
Richmond,BC,49.17003,-123.13683,209937
Richmond Hill,ON,43.87111,-79.43725,202022
Burlington,ON,43.38621,-79.83713,186948
Nepean,ON,45.33619,-75.7225,180000
Oshawa,ON,43.90012,-78.84957,175383
Greater Sudbury,ON,46.49,-80.99001,166004
Newton,BC,49.13333,-122.85,159390
Gloucester,ON,45.35,-75.63333,150012
Saguenay,QC,48.41675,-71.06573,148886
Coquitlam,BC,49.2846,-122.78217,148625
Barrie,ON,44.40011,-79.66634,147829
Rosemont–La Petite-Patrie,QC,45.53661,-73.60686,146501
Villeray–Saint-Michel–Parc-Extension,QC,45.55869,-73.60535,144814
Kelowna,BC,49.88307,-119.48568,144576
Trois-Rivières,QC,46.34515,-72.5477,144472
Guelph,ON,43.54594,-80.25599,143740
Lévis,QC,46.80326,-71.17793,143414
Mercier–Hochelaga-Maisonneuve,QC,45.57194,-73.54626,142753
Abbotsford,BC,49.05798,-122.25257,141397
Whitby,ON,43.88342,-78.93287,138501
St. Catharines,ON,43.17126,-79.24267,136803
Ahuntsic-Cartierville,QC,45.56667,-73.66667,135336
Le Vieux-Longueuil,QC,45.53721,-73.50773,135218
Milton,ON,43.51681,-79.88294,132979
Langley,BC,49.10107,-122.65883,132603
Kingston,ON,44.22976,-76.48098,132485
Cambridge,ON,43.3601,-80.31269,129920
Sherbrooke,QC,45.40008,-71.89908,129447
Orléans,ON,45.45732,-75.50433,125937
Ottawa South,ON,45.3921,-75.68725,125090
Saint-Louis-de-Terrebonne,QC,45.70198,-73.78669,119944
Ajax,ON,43.85012,-79.03288,119677
Saanich,BC,48.54964,-123.36931,117735
Thornhill,ON,43.815,-79.4242,115292
Rivière-des-Prairies–Pointe-aux-Trembles,QC,45.64064,-73.58463,113868
Terrebonne,QC,45.70004,-73.64732,111575
Sainte-Foy,QC,46.78139,-71.29217,111300
St. John's,NL,47.56494,-52.70931,110525
Thunder Bay,ON,48.38202,-89.25018,108843
La Cité-Limoilou,QC,46.82894,-71.22641,108415
Sydney,NS,46.1351,-60.1831,105968
Le Plateau-Mont-Royal,QC,45.52833,-73.58081,105813
Waterloo,ON,43.4668,-80.51639,104986
Ville-Marie,QC,45.49899,-73.57046,104944
Brantford,ON,43.1334,-80.26636,104688
Kamloops,BC,50.66648,-120.3192,104460
Lethbridge,AB,49.69999,-112.81856,103197
Whalley,BC,49.17917,-122.86667,102555
Delta,BC,49.08917,-123.05322,101668
Chilliwack,BC,49.16638,-121.95257,101491
Dartmouth,NS,44.67134,-63.57719,101343
Red Deer,AB,52.26682,-113.802,100844
Niagara Falls,ON,43.10012,-79.06627,99818
Saint-Laurent,QC,45.50008,-73.66585,98828
Saint-Jean-sur-Richelieu,QC,45.30713,-73.26259,98036
Chomedey,QC,45.53333,-73.75,94030
Pickering,ON,43.90012,-79.13289,91771
Newmarket,ON,44.05011,-79.46631,91034
Nanaimo,BC,49.16638,-123.94003,90504
Airdrie,AB,51.30011,-114.03528,90044
Kanata,ON,45.3001,-75.91606,90000
La Haute-Saint-Charles,QC,46.89028,-71.37222,88460
North Vancouver,BC,49.31636,-123.06934,88168
Montréal-Nord,QC,45.6016,-73.63063,86857
Le Sud-Ouest,QC,45.47187,-73.58986,86347
Moncton,NB,46.09454,-64.7965,86106
Peterborough,ON,44.30012,-78.31623,85807
Repentigny,QC,45.74222,-73.45008,84965
Charlesbourg,QC,46.899,-71.305,82870
Saint-Hubert,QC,45.50008,-73.41583,82548
Maple Ridge,BC,49.21939,-122.60193,82256
Beauport,QC,46.85884,-71.19201,81425
East Hastings,BC,49.27169,-123.06186,80740
Saint-Léonard,QC,45.58773,-73.59501,79495
Willowdale,ON,43.76672,-79.39909,79440
Prince George,BC,53.9166,-122.75301,78943
New Westminster,BC,49.20678,-122.91092,78916
South Surrey,BC,49.05,-122.79167,77170
Les Rivières,QC,46.81847,-71.272,77000
Caledon,ON,43.86544,-79.99322,76581
Stoney Creek,ON,43.21681,-79.76633,76382
Cloverdale,BC,49.10797,-122.7276,73355
Pierrefonds-Roxboro,QC,45.5019,-73.8417,73194
Nutana Sector,SK,52.09998,-106.63709,72564
Sarnia,ON,42.97866,-82.40407,72125
Sault Ste. Marie,ON,46.51677,-84.33325,72051
Saint John,NB,45.27076,-66.05616,71808
Sherwood Park,AB,53.51684,-113.3187,70618
Grande Prairie,AB,55.16667,-118.80271,70385
Confederation,SK,52.13912,-106.70356,70192
Brossard,QC,45.45008,-73.46583,69575
Verdun,QC,45.46005,-73.57058,69229
Chicoutimi,QC,48.41963,-71.06369,69004
Notre-Dame-de-Grâce,QC,45.47675,-73.61432,68152
Fort McMurray,AB,56.72676,-111.38103,66573
Granby,QC,45.40008,-72.73243,66222
Waterfront Communities-The Island,ON,43.63388,-79.3772,65913
Fleetwood,BC,49.16667,-122.8,65565
Fort Garry South,MB,49.79225,-97.16359,65420
Guildford,BC,49.19167,-122.8,64985
Hull,QC,45.42761,-75.71056,63702
Medicine Hat,AB,50.03928,-110.67661,63138
Fredericton,NB,45.94541,-66.66558,63116
Halton Hills,ON,43.6403,-79.93146,62951
Brighouse-City Centre,BC,49.16667,-123.13333,62855
Downtown Vancouver,BC,49.28277,-123.11935,62030
Norfolk County,ON,42.8334,-80.38297,60847
North Delta,BC,49.16667,-122.91667,60769
Drummondville,QC,45.88336,-72.48241,59489
Pierrefonds,QC,45.45989,-73.89284,59093
Port Coquitlam,BC,49.26637,-122.76932,58000
St. Albert,AB,53.63344,-113.63533,57719
Aylmer,QC,45.4002,-75.80644,56542
Saint-Michel,QC,45.56758,-73.62168,56420
Aurora,ON,44.00011,-79.46632,55445
Saint-Jérôme,QC,45.78036,-74.00365,54948
Jonquière,QC,48.41648,-71.24884,54842
Woburn,ON,43.76657,-79.22773,53485
Metrotown,BC,49.225,-123.0,52355
Welland,ON,42.98342,-79.24958,52293
University Heights,SK,52.14432,-106.57867,51957
Lower Sackville,NS,44.77599,-63.67865,51749
Renfrew-Collingwood,BC,49.245,-123.03758,51530
Lakewood,SK,52.1085,-106.59027,51237
Belleville,ON,44.16682,-77.38277,50716
Willowdale East,ON,43.7706,-79.40148,50434
North Bay,ON,46.3168,-79.46633,50396
Saint-Hyacinthe,QC,45.63076,-72.95699,50326
Whitchurch-Stouffville,ON,44.00012,-79.3163,49864
Kensington-Cedar Cottage,BC,49.25,-123.06667,49235
Dollard-Des Ormeaux,QC,45.49452,-73.82419,48930
Brandon,MB,49.84692,-99.95306,48859
Cornwall,ON,45.01809,-74.72815,48821
West End,BC,49.28333,-123.13333,47200
Langford,BC,48.44963,-123.50261,46584
Rouge,ON,43.80406,-79.16571,46496
Blainville,QC,45.66678,-73.88249,46493
Victoria-Downtown,BC,48.4277,-123.36104,46309
West Vancouver,BC,49.3286,-123.16019,45487
Georgetown,ON,43.65011,-79.91634,44058
L'Amoreaux,ON,43.79572,-79.31408,43993
Islington-City Centre West,ON,43.63347,-79.54332,43965
Malvern,ON,43.80938,-79.22344,43794
Quinte West,ON,44.18342,-77.56618,43577
Chatham,ON,42.41224,-82.18494,43550
Innisfil,ON,44.30011,-79.64964,43326
Kitsilano,BC,49.26667,-123.16667,43045
Salaberry-de-Valleyfield,QC,45.25008,-74.13253,42787
Châteauguay,QC,45.38338,-73.74919,42786
Rimouski,QC,48.44879,-68.52396,42240
Saint-Eustache,QC,45.565,-73.90554,42062
Timmins,ON,48.46686,-81.33312,41788
Sorel-Tracy,QC,46.04178,-73.11358,41629
Mission,BC,49.13298,-122.30258,41519
Centre City,AB,51.04512,-114.07431,41000
Strawberry Hill,BC,49.13333,-122.88333,41000
Val-des-Arbres,QC,45.59837,-73.67542,40974
Stittsville,ON,45.2501,-75.91606,40889
Ancaster,ON,43.21806,-79.98716,40557
Woodstock,ON,43.13339,-80.7497,40404
Vernon,BC,50.26729,-119.27337,40116
Bowmanville,ON,43.91682,-78.68286,39371
Boucherville,QC,45.59104,-73.43605,39062
Spruce Grove,AB,53.53344,-113.91874,38985
St. Thomas,ON,42.77361,-81.18038,38909
Charlottetown,PE,46.23459,-63.1256,38809
Okanagan Mission,BC,49.81667,-119.48333,38374
Shawinigan,QC,46.56675,-72.74913,38211
Neufchâtel-Est–Lebourgneuf,QC,46.85436,-71.34191,37540
Duvernay,QC,45.58333,-73.66667,37460
Laval-des-Rapides,QC,45.55642,-73.70007,36933
Stouffville,ON,43.96682,-79.2496,36753
Dovercourt-Wallace Emerson-Junction,ON,43.66568,-79.43854,36625
Sunset,BC,49.22104,-123.09546,36500
Core Neighbourhoods,SK,52.13041,-106.67231,36088
Leamington,ON,42.05009,-82.59981,35730
Rock Forest,QC,45.35699,-71.99676,35500
Prince Albert,SK,53.20008,-105.76772,35102
Downsview-Roding-CFB,ON,43.73329,-79.49049,35052
Parkwoods-Donalda,ON,43.75503,-79.33018,34805
Rutland,BC,49.89977,-119.38567,34800
Joliette,QC,46.0164,-73.4236,34772
Cartierville,QC,45.53118,-73.70358,34667
Mirabel,QC,45.65008,-74.08251,34626
Mascouche,QC,45.74965,-73.59956,34626
Lawson,SK,52.16432,-106.63884,34620
Hastings-Sunrise,BC,49.28333,-123.03333,34575
Victoriaville,QC,46.05007,-71.96579,34426
Brant,ON,43.1334,-80.34967,34415
Mimico,ON,43.61616,-79.51269,33964
Moose Jaw,SK,50.40005,-105.53445,33890
Parc-Extension,QC,45.52951,-73.63176,33800
Penticton,BC,49.48062,-119.58584,33761
Arcola East,SK,50.43308,-104.53601,33725
Fairview,BC,49.26305,-123.13212,33620
Surrey City Centre,BC,49.18542,-122.84659,33520
Campbell River,BC,50.01634,-125.24459,33430
West Humber-Clairville,ON,43.71619,-79.59636,33312
Mount Pleasant,BC,49.26667,-123.1,33000
Mt Pleasant,BC,49.26239,-123.10019,32955
Mount Olive-Silverstone-Jamestown,ON,43.74687,-79.58726,32954
LaSalle,ON,42.24481,-83.06095,32721
Chestermere,AB,51.03341,-113.81867,32255
Cochrane,AB,51.18341,-114.46871,32199
Snowdon,QC,45.4859,-73.63103,32160
Lloydminster,AB,53.27237,-110.02256,31582
Stratford,ON,43.36679,-80.94972,31465
Chilliwack-Downtown,BC,49.1643,-121.95907,31410
Côte-Saint-Luc,QC,45.46536,-73.66585,31395
Church-Yonge Corridor,ON,43.65965,-79.37902,31340
Willoughby,BC,49.12624,-122.67995,31305
Niagara,ON,43.64455,-79.40712,31180
Saint-Georges,QC,46.11353,-70.66526,31173
Orillia,ON,44.60868,-79.42068,31166
Victoria-Fraserview,BC,49.21667,-123.06667,31065
Orangeville,ON,43.9168,-80.09967,30734
Fort Erie,ON,42.90012,-78.93286,30710
Annex,ON,43.67159,-79.404,30526
Glenfield-Jane Heights,ON,43.74564,-79.51347,30491
Ville-Émard,QC,45.44979,-73.6015,30440
Okotoks,AB,50.72885,-113.98281,30214
Pointe-Claire,QC,45.44868,-73.81669,30161
Bendale,ON,43.76681,-79.25326,29960
Desmarchais-Crawford,QC,45.44554,-73.58163,29688
North Cowichan,BC,48.84133,-123.68596,29676
Mount Pleasant West,ON,43.70444,-79.39336,29658
Alma,QC,48.55009,-71.6491,29526
Killarney,BC,49.22594,-123.04282,29325
Grandview-Woodlands,BC,49.27738,-123.07079,29175
Agincourt North,ON,43.80418,-79.27528,29113
Sainte-Julie,QC,45.58338,-73.33246,29019
West Kelowna,BC,49.8625,-119.58333,28793
Sept-Îles,QC,50.20011,-66.38208,28534
Courtenay,BC,49.68657,-124.9936,28420
Whitehorse,YT,60.71611,-135.05375,28201
Fredericton Northside,NB,45.97594,-66.64117,28167
Wexford/Maryvale,ON,43.74857,-79.29864,27917
South Riverdale,ON,43.64929,-79.33565,27876
Marpole,BC,49.21359,-123.12979,27843
St. James-Assiniboia East,MB,49.88986,-97.22653,27755
Banbury-Don Mills,ON,43.73766,-79.34972,27695
York University Heights,ON,43.76574,-79.48888,27593
Port Moody,BC,49.28124,-122.82457,27512
Tam O'Shanter-Sullivan,ON,43.77977,-79.29502,27446
West Hill,ON,43.76737,-79.1795,27392
Saint-Constant,QC,45.36678,-73.56588,27359
Grimsby,ON,43.20011,-79.56631,27314
Dieppe,NB,46.07844,-64.68735,27304
Conception Bay South,NL,47.49989,-52.99806,27168
Don Valley Village,ON,43.78329,-79.35364,27051
Clairlea-Birchmount,ON,43.71359,-79.28138,26984
Bolton,ON,43.87952,-79.73791,26795
Milliken,ON,43.82499,-79.29872,26572
Boisbriand,QC,45.61678,-73.83249,26483
Westminster-Branson,ON,43.77881,-79.45242,26274
Beltline,AB,51.03951,-114.07087,25880
Bay Street Corridor,ON,43.65751,-79.38572,25797
Vaudreuil-Dorion,QC,45.40008,-74.03251,25789
Thetford-Mines,QC,46.09371,-71.30539,25704
Centretown,ON,45.41534,-75.69639,25687
Walnut Grove,BC,49.16473,-122.64042,25683
Coquitlam West,BC,49.25702,-122.87883,25656
Downtown Halifax,NS,44.64826,-63.57762,25555
Val-d'Or,QC,48.0974,-77.79737,25541
Panorama Hills,AB,51.15286,-114.081,25535
Prince Edward,ON,44.00012,-77.24946,25496
Sainte-Thérèse,QC,45.63922,-73.82757,25224
Steveston,BC,49.12714,-123.18137,25220
Stonegate-Queensway,ON,43.63552,-79.50113,25051
Dorset Park,ON,43.75386,-79.28215,25003
Fraser Heights,BC,49.2,-122.78333,25000
Brooklin,ON,43.95833,-78.95972,25000
Fallingbrook,ON,45.47558,-75.48401,25000
