"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-01","2015","01","01","","-4.0","","-12.9","","-8.5","","26.5","","0.0","","","","","","16.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-02","2015","01","02","","-4.1","","-19.0","","-11.6","","29.6","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-03","2015","01","03","","-11.4","","-29.5","","-20.5","","38.5","","0.0","","","","","","6.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-04","2015","01","04","","-2.5","","-11.5","","-7.0","","25.0","","0.0","","","","","","20.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-05","2015","01","05","","-4.3","","-23.7","","-14.0","","32.0","","0.0","","","","","","0.7","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-06","2015","01","06","","-18.0","","-27.0","","-22.5","","40.5","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-07","2015","01","07","","-12.0","","-27.8","","-19.9","","37.9","","0.0","","","","","","5.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-08","2015","01","08","","-18.9","","-30.1","","-24.5","","42.5","","0.0","","","","","","1.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-09","2015","01","09","","-7.2","","-18.9","","-13.1","","31.1","","0.0","","","","","","5.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-10","2015","01","10","","-10.1","","-28.9","","-19.5","","37.5","","0.0","","","","","","1.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-11","2015","01","11","","-8.7","","-20.3","","-14.5","","32.5","","0.0","","","","","","3.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-12","2015","01","12","","-4.5","","-18.9","","-11.7","","29.7","","0.0","","","","","","4.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-13","2015","01","13","","-17.4","","-33.0","","-25.2","","43.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-14","2015","01","14","","-13.7","","-36.7","","-25.2","","43.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-15","2015","01","15","","-11.0","","-29.8","","-20.4","","38.4","","0.0","","","","","","1.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-16","2015","01","16","","-6.8","","-23.4","","-15.1","","33.1","","0.0","","","","","","4.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-17","2015","01","17","","-15.1","","-27.2","","-21.2","","39.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-18","2015","01","18","","0.2","","-16.1","","-8.0","","26.0","","0.0","","","","","","4.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-19","2015","01","19","","1.9","","-9.8","","-4.0","","22.0","","0.0","","","","","","19.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-20","2015","01","20","","-9.8","","-18.0","","-13.9","","31.9","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-21","2015","01","21","","-12.8","","-23.0","","-17.9","","35.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-22","2015","01","22","","-6.6","","-23.7","","-15.2","","33.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-23","2015","01","23","","-2.6","","-14.9","","-8.8","","26.8","","0.0","","","","","","3.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-24","2015","01","24","","-2.1","","-3.9","","-3.0","","21.0","","0.0","","","","","","1.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-25","2015","01","25","","-2.8","","-20.9","","-11.9","","29.9","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-26","2015","01","26","","-13.7","","-27.1","","-20.4","","38.4","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-27","2015","01","27","","-11.3","","-15.2","","-13.3","","31.3","","0.0","","","","","","1.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-28","2015","01","28","","-6.4","","-13.9","","-10.2","","28.2","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-29","2015","01","29","","-5.3","","-22.7","","-14.0","","32.0","","0.0","","","","","","0.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-30","2015","01","30","","-1.5","","-13.9","","-7.7","","25.7","","0.0","","","","","","11.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-01-31","2015","01","31","","-12.4","","-22.1","","-17.3","","35.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-01","2015","02","01","","-16.7","","-30.2","","-23.5","","41.5","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-02","2015","02","02","","-17.7","","-26.1","","-21.9","","39.9","","0.0","","","","","","0.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-03","2015","02","03","","-15.5","","-28.8","","-22.2","","40.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-04","2015","02","04","","-6.9","","-24.4","","-15.7","","33.7","","0.0","","","","","","6.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-05","2015","02","05","","-7.0","","-31.8","","-19.4","","37.4","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-06","2015","02","06","","-14.7","","-33.8","","-24.3","","42.3","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-07","2015","02","07","","-14.5","","-27.9","","-21.2","","39.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-08","2015","02","08","","-14.8","","-23.4","","-19.1","","37.1","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-09","2015","02","09","","-12.2","","-17.8","","-15.0","","33.0","","0.0","","","","","","0.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-10","2015","02","10","","-6.0","","-16.5","","-11.3","","29.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-11","2015","02","11","","-12.8","","-21.9","","-17.4","","35.4","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-12","2015","02","12","","-11.1","","-17.1","","-14.1","","32.1","","0.0","","","","","","1.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-13","2015","02","13","","-15.8","","-25.5","","-20.7","","38.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-14","2015","02","14","","-14.0","","-28.7","","-21.4","","39.4","","0.0","","","","","","0.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-15","2015","02","15","","-12.6","","-23.7","","-18.2","","36.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-16","2015","02","16","","-10.0","","-21.0","","-15.5","","33.5","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-17","2015","02","17","","-12.1","","-28.2","","-20.2","","38.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-18","2015","02","18","","-7.7","","-22.3","","-15.0","","33.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-19","2015","02","19","","-7.4","","-14.3","","-10.9","","28.9","","0.0","","","","","","3.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-20","2015","02","20","","-9.9","","-18.7","","-14.3","","32.3","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-21","2015","02","21","","-9.4","","-24.9","","-17.2","","35.2","","0.0","","","","","","4.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-22","2015","02","22","","-4.8","","-13.5","","-9.2","","27.2","","0.0","","","","","","1.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-23","2015","02","23","","-7.1","","-24.8","","-16.0","","34.0","","0.0","","","","","","0.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-24","2015","02","24","","-12.7","","-32.0","","-22.4","","40.4","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-25","2015","02","25","","-5.3","","-18.2","","-11.8","","29.8","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-26","2015","02","26","","-13.9","","-26.1","","-20.0","","38.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-27","2015","02","27","","-11.2","","-31.1","","-21.2","","39.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-02-28","2015","02","28","","-8.1","","-25.3","","-16.7","","34.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-01","2015","03","01","","-4.3","","-23.8","","-14.1","","32.1","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-02","2015","03","02","","-3.6","","-14.6","","-9.1","","27.1","","0.0","","","","","","1.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-03","2015","03","03","","-7.1","","-19.5","","-13.3","","31.3","","0.0","","","","","","5.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-04","2015","03","04","","0.1","","-8.7","","-4.3","","22.3","","0.0","","","","","","2.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-05","2015","03","05","","-8.2","","-28.3","","-18.3","","36.3","","0.0","","","","","","0.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-06","2015","03","06","","-8.8","","-30.9","","-19.9","","37.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-07","2015","03","07","","-4.0","","-23.6","","-13.8","","31.8","","0.0","","","","","","0.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-08","2015","03","08","","-1.8","","-15.7","","-8.8","","26.8","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-09","2015","03","09","","-0.2","","-10.8","","-5.5","","23.5","","0.0","","","","","","1.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-10","2015","03","10","","6.3","","-9.3","","-1.5","","19.5","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-11","2015","03","11","","6.5","","-3.0","","1.8","","16.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-12","2015","03","12","","-2.9","","-13.7","","-8.3","","26.3","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-13","2015","03","13","","-4.6","","-19.4","","-12.0","","30.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-14","2015","03","14","","-1.9","","-8.0","","-5.0","","23.0","","0.0","","","","","","3.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-15","2015","03","15","","-1.8","","-18.2","","-10.0","","28.0","","0.0","","","","","","12.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-16","2015","03","16","","-0.3","","-20.8","","-10.6","","28.6","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-17","2015","03","17","","-0.7","","-10.8","","-5.8","","23.8","","0.0","","","","","","3.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-18","2015","03","18","","-7.9","","-14.7","","-11.3","","29.3","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-19","2015","03","19","","-3.6","","-19.7","","-11.7","","29.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-20","2015","03","20","","1.7","","-21.9","","-10.1","","28.1","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-21","2015","03","21","","1.2","","-11.3","","-5.1","","23.1","","0.0","","","","","","7.7","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-22","2015","03","22","","-11.3","","-18.2","","-14.8","","32.8","","0.0","","","","","","0.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-23","2015","03","23","","-4.4","","-15.7","","-10.1","","28.1","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-24","2015","03","24","","-0.1","","-16.0","","-8.1","","26.1","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-25","2015","03","25","","5.6","","-17.9","","-6.2","","24.2","","0.0","","","","","","0.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-26","2015","03","26","","5.0","","1.1","","3.1","","14.9","","0.0","","","","","","0.9","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-27","2015","03","27","","3.2","","-7.2","","-2.0","","20.0","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-28","2015","03","28","","-1.0","","-13.3","","-7.2","","25.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-29","2015","03","29","","1.9","","-15.8","","-7.0","","25.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-30","2015","03","30","","1.0","","-7.0","","-3.0","","21.0","","0.0","","","","","","8.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-03-31","2015","03","31","","1.0","","-8.3","","-3.7","","21.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-01","2015","04","01","","-1.2","","-16.8","","-9.0","","27.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-02","2015","04","02","","0.2","","-17.0","","-8.4","","26.4","","0.0","","","","","","4.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-03","2015","04","03","","9.9","","0.0","","5.0","","13.0","","0.0","","","","","","2.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-04","2015","04","04","","3.0","","-14.8","","-5.9","","23.9","","0.0","","","","","","6.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-05","2015","04","05","","-3.6","","-17.2","","-10.4","","28.4","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-06","2015","04","06","","2.2","","-19.3","","-8.6","","26.6","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-07","2015","04","07","","4.0","","-8.3","","-2.2","","20.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-08","2015","04","08","","4.7","","-12.2","","-3.8","","21.8","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-09","2015","04","09","","6.0","","-0.7","","2.7","","15.3","","0.0","","","","","","3.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-10","2015","04","10","","6.9","","0.5","","3.7","","14.3","","0.0","","","","","","33.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2015-04-11","2015","04","11","","6.5","","1.8","","4.2","","13.8","","0.0","","","","","","0.2","","","","","","",""
